gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Actual_Churn,Churn_Probability,Risk_Segment,MonthlyCharges_Actual,Annual_Value
1,0,0,0,-1.2046463905950056,1,1,0,0,0,0,0,0,0,0,0.3321828189291382,1,0,0,0,1,1,0.8099356933516387,High Risk,75.0,900.0
1,0,0,0,-0.4304078225994724,1,1,0,1,0,0,0,0,0,1,0.4766724556503998,1,0,0,1,0,1,0.7866112101624209,High Risk,79.35,952.1999999999999
1,0,0,0,-0.9601500007016792,1,0,1,0,1,1,0,1,0,1,0.10797476194787,0,0,0,0,0,0,0.4618280200749304,Medium Risk,68.25,819.0
1,0,0,0,1.5663126948626918,1,1,0,0,0,0,0,0,2,0,-1.3103487985114122,0,1,0,0,0,0,0.018953083228650542,Low Risk,25.549999999999997,306.59999999999997
0,0,1,1,1.5255632965471373,1,0,0,0,0,0,0,0,2,1,-1.5212704521160123,0,1,0,0,1,0,0.015609697508833505,Low Risk,19.20000000000001,230.40000000000012
0,0,0,0,-1.163896992279451,1,1,0,0,0,1,1,0,0,1,-0.0199068705525568,0,0,0,0,1,0,0.6801394148346028,Medium Risk,64.4,772.8000000000001
1,0,0,0,-1.2861451872261145,1,0,0,0,0,1,0,0,0,1,-0.5214685980217646,0,0,0,1,0,0,0.6316900974783849,Medium Risk,49.3,591.5999999999999
0,0,1,1,0.6290765336049412,1,1,1,1,0,0,1,1,1,1,1.270535057406298,1,0,1,0,0,1,0.3438998885681198,Low Risk,103.25,1239.0
1,0,0,0,-1.163896992279451,1,0,0,0,0,0,0,0,0,1,-1.4963584457847603,0,1,0,0,1,0,0.41869123676591025,Medium Risk,19.950000000000003,239.40000000000003
0,1,1,0,0.2215825504493974,1,1,0,0,0,0,0,0,0,1,0.3305220185070548,1,0,0,0,0,1,0.6653732402244487,Medium Risk,74.95,899.4000000000001
1,0,0,0,-1.041648797332788,1,1,0,0,0,0,0,0,0,0,-1.3784416158168342,0,1,0,0,1,0,0.41251608091205116,Medium Risk,23.5,282.0
1,0,1,1,0.9143223218138218,1,0,0,0,1,1,0,0,2,1,-0.3238333477938317,0,0,1,0,0,0,0.03860251587335828,Low Risk,55.25,663.0
1,0,1,1,0.6698259319204956,1,0,1,1,0,1,0,0,0,0,-0.17934371107257,0,0,1,0,0,0,0.08881345545707593,Low Risk,59.6,715.2
1,1,1,0,1.1995681100227022,1,1,0,1,1,0,1,1,1,1,1.2871430616271329,1,0,0,1,0,1,0.5312024062634528,Medium Risk,103.75,1245.0
0,1,1,0,0.6290765336049412,1,0,0,1,0,0,0,1,1,1,-0.200934116559655,0,0,0,0,0,0,0.19510269780176975,Low Risk,58.95,707.4000000000001
1,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,1,0.1362083691232887,1,0,0,1,0,1,0.8547159201494985,High Risk,69.1,829.1999999999999
1,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,1,-1.5030016474730945,0,1,0,0,1,0,0.4416763861340539,Medium Risk,19.749999999999993,236.99999999999991
1,0,1,1,1.36256570328492,1,1,0,0,1,0,1,0,2,1,-0.0564444798383934,0,0,0,0,0,0,0.0651238642483653,Low Risk,63.3,759.5999999999999
0,1,1,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,1,0.1810499805195427,1,0,0,0,1,1,0.8337996825338401,High Risk,70.45,845.4000000000001
1,0,0,0,-1.2046463905950056,1,0,0,1,1,0,0,1,0,0,0.8437093489308467,1,0,0,1,0,0,0.8396142925593197,High Risk,90.4,1084.8000000000002
0,0,0,0,-0.1451620343905918,1,1,0,1,0,0,0,0,1,1,-0.3238333477938317,0,0,0,1,0,0,0.3617710469578519,Low Risk,55.25,663.0
1,0,1,0,1.158818711707148,0,0,1,0,1,1,1,1,2,1,-0.0946428895463132,0,0,0,0,1,0,0.07918870469976431,Low Risk,62.15,745.8
1,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,0,-1.4747680402976753,0,1,0,0,1,1,0.37889664471938733,Low Risk,20.6,247.20000000000002
1,0,0,0,-0.8786512040705705,1,0,0,0,0,0,0,0,0,0,-0.6576542326326088,0,0,1,0,0,0,0.49061599607160605,Medium Risk,45.2,542.4000000000001
0,0,1,0,0.4660789403427237,1,0,1,1,1,0,0,0,1,1,-0.1162332950333982,0,0,0,0,1,0,0.11533630423728546,Low Risk,61.5,738.0
1,0,1,0,0.6290765336049412,1,0,0,0,0,0,0,0,2,0,-1.519609651693929,0,1,0,0,1,0,0.029770864803723797,Low Risk,19.25,231.0
1,0,1,1,1.403315101600474,1,1,0,1,1,1,1,1,2,1,1.5346023245175695,1,0,0,0,0,0,0.12074176251486746,Low Risk,111.2,1334.4
1,0,0,0,1.5663126948626918,1,1,1,0,0,1,0,1,1,0,1.0845254101329496,1,0,1,0,0,0,0.1341102392670168,Low Risk,97.65,1171.8000000000002
0,0,0,0,0.832823525182713,1,0,0,0,0,0,0,0,2,0,-1.4996800466289273,0,1,1,0,0,0,0.025992825387787168,Low Risk,19.85,238.20000000000002
1,0,0,1,0.6698259319204956,1,1,1,1,1,0,1,1,1,1,1.4681703076342307,1,0,1,0,0,0,0.35535750038104785,Low Risk,109.2,1310.4
1,0,1,0,1.2810669066538112,1,1,0,1,0,1,0,1,1,1,0.1710851779870419,0,0,0,0,1,0,0.11463828588712548,Low Risk,70.15,841.8000000000001
0,0,1,0,1.0773199150760393,1,1,0,1,0,1,1,1,1,1,0.5015844619816519,0,0,0,1,0,0,0.21933587077461814,Low Risk,80.1,961.1999999999999
0,0,1,0,1.5255632965471373,1,0,1,1,1,1,1,1,2,0,0.7125061155862527,0,0,1,0,0,0,0.026367691914796522,Low Risk,86.45,1037.4
0,0,1,0,0.6290765336049412,1,0,0,1,1,0,0,1,1,1,0.0216131399995298,0,0,0,1,0,0,0.23632290881780635,Low Risk,65.65,787.8000000000001
1,0,0,0,-1.2453957889105598,1,0,0,1,0,0,0,0,0,1,-0.4882525895800952,0,0,0,0,1,0,0.5966832561800912,Medium Risk,50.3,603.5999999999999
0,0,1,1,0.0585849571871799,1,0,0,0,0,0,0,0,1,1,-1.49137604451851,0,1,0,0,0,0,0.08409103783856808,Low Risk,20.1,241.20000000000002
0,1,1,0,0.7920741268671586,1,1,0,1,1,0,1,1,1,1,1.3784870848417234,1,0,0,1,0,0,0.6027765551493145,Medium Risk,106.5,1278.0
0,1,1,0,-1.0008993990172337,1,1,0,1,0,0,0,0,0,1,0.5198532666245703,1,0,1,0,0,1,0.8246781195033924,High Risk,80.65,967.8000000000001
0,0,1,1,-0.389658424283918,1,1,1,1,1,1,1,1,2,1,0.8669605548400149,0,0,1,0,0,0,0.13779277072264828,Low Risk,91.1,1093.1999999999998
0,0,1,1,-0.389658424283918,0,0,1,0,0,1,0,0,2,0,-1.0097439221143043,0,0,0,0,1,0,0.0832084688254278,Low Risk,34.599999999999994,415.19999999999993
1,0,0,0,-1.2861451872261145,1,0,1,0,0,0,0,0,0,1,-0.50486059380093,0,0,1,0,0,0,0.5369456659952271,Medium Risk,49.8,597.5999999999999
0,0,1,1,-0.9601500007016792,1,0,0,0,0,1,0,0,0,1,0.360416426104557,1,0,0,1,0,0,0.7112212774812899,High Risk,75.85,910.1999999999999
0,0,1,1,0.955071720129376,1,0,0,0,0,0,0,0,2,1,-1.501340847051011,0,1,1,0,0,0,0.023076531731530917,Low Risk,19.799999999999997,237.59999999999997
1,0,0,0,-1.0823981956483424,1,1,0,0,0,0,0,0,0,1,0.3288612180849715,1,0,0,1,0,1,0.8725280693283999,High Risk,74.9,898.8000000000001
0,0,0,1,-0.3081596276528093,0,0,1,0,0,1,0,0,2,0,-0.9947967183155532,0,0,0,0,0,0,0.07443819671999331,Low Risk,35.05,420.59999999999997
1,0,1,1,-0.3081596276528093,1,0,1,0,0,1,0,0,0,0,-0.3553885558134178,0,0,0,1,0,0,0.24659002794824036,Low Risk,54.3,651.5999999999999
1,0,0,0,-0.4711572209150268,1,1,0,0,0,0,0,0,0,1,0.2890020079549681,1,0,0,1,0,0,0.8130220371892343,High Risk,73.7,884.4000000000001
1,0,1,1,1.607062093178246,1,0,1,1,0,1,1,1,2,0,1.345271076400054,1,0,0,0,0,0,0.04206648641741672,Low Risk,105.5,1266.0
1,0,1,1,0.4253295420271693,1,1,0,0,0,0,0,0,2,0,-1.3535296094855822,0,1,0,0,1,0,0.03700704985330121,Low Risk,24.25,291.0
0,0,1,1,-0.8786512040705705,1,0,1,0,0,0,0,0,0,0,-0.4650013836709266,0,0,0,0,0,0,0.31544040444506277,Low Risk,51.0,612.0
1,0,1,1,0.9958211184449304,1,0,0,0,0,0,0,0,1,0,-1.5146272504276788,0,1,0,0,1,0,0.03738228615427469,Low Risk,19.4,232.79999999999998
0,0,0,0,-0.389658424283918,1,0,0,0,0,0,0,0,0,1,-1.4847328428301765,0,1,0,0,0,0,0.2664022622867254,Low Risk,20.29999999999999,243.59999999999988
1,0,1,1,1.607062093178246,1,1,0,0,0,0,0,0,2,0,-1.351868809063499,0,1,0,0,0,0,0.014025547449330107,Low Risk,24.299999999999997,291.59999999999997
0,0,0,0,0.4660789403427237,1,1,0,0,0,0,0,0,0,1,-0.4932349908463456,0,0,0,0,1,0,0.3876763934426517,Low Risk,50.15,601.8
1,0,1,1,1.607062093178246,1,1,0,0,0,0,0,0,2,0,-1.3103487985114122,0,1,1,0,0,0,0.014924608847321273,Low Risk,25.549999999999997,306.59999999999997
1,0,0,0,-1.2861451872261145,1,1,0,0,0,0,0,0,0,1,0.3072708125978862,1,0,0,0,1,1,0.854504582364251,High Risk,74.25,891.0
0,0,0,0,0.955071720129376,0,0,1,1,1,1,0,0,2,0,-0.6626366338988594,0,0,0,0,0,0,0.0349437703561867,Low Risk,45.05,540.5999999999999
0,1,1,1,0.0585849571871799,1,1,0,1,0,0,0,0,0,1,0.4849764577608171,1,0,0,0,1,1,0.6326079127452559,Medium Risk,79.6,955.1999999999999
0,0,0,0,1.4848138982315828,1,1,0,0,0,0,0,0,2,0,-1.341904006530998,0,1,1,0,0,0,0.02180139004062775,Low Risk,24.6,295.20000000000005
1,1,1,0,-0.2266608310217006,1,1,0,0,0,0,0,0,0,1,0.3487908231499729,1,0,0,1,0,1,0.8070767442386256,High Risk,75.5,906.0
1,0,0,0,-0.9194006023861248,1,0,1,0,1,0,1,1,1,1,1.1260454206850363,1,0,0,1,0,0,0.732378430913793,High Risk,98.9,1186.8000000000002
0,0,0,0,0.2623319487649518,0,0,1,1,0,1,0,0,1,0,-0.79217906682137,0,0,0,0,0,0,0.10953340023116313,Low Risk,41.15,493.79999999999995
1,0,1,1,1.607062093178246,1,1,1,1,1,1,1,1,2,0,0.8254405442879281,0,0,1,0,0,0,0.02681929707255065,Low Risk,89.85,1078.1999999999998
0,0,0,0,0.6290765336049412,0,0,1,1,0,0,1,0,0,1,-0.6709406360092768,0,0,0,1,0,0,0.42388316783622904,Medium Risk,44.8,537.5999999999999
1,0,0,0,-0.3489090259683637,1,0,0,0,0,0,0,0,2,0,-1.469785639031425,0,1,0,0,1,0,0.062321699557815656,Low Risk,20.75,249.0
1,0,0,1,-0.2266608310217006,1,0,0,0,0,0,0,0,0,0,-1.522931252538096,0,1,0,0,1,0,0.1787328537579642,Low Risk,19.15,229.79999999999998
0,0,0,1,0.0585849571871799,1,0,1,0,1,1,1,0,2,0,0.0880451568828685,0,0,1,0,0,0,0.05568641576122953,Low Risk,67.65,811.8000000000001
0,1,0,0,-0.2674102293372549,1,0,0,0,0,0,1,1,0,1,0.8719429561062655,1,0,0,1,0,1,0.8568601343635874,High Risk,91.25,1095.0
0,0,1,0,0.5475777369738324,1,0,1,1,0,1,0,1,1,0,0.1860323817857928,0,0,0,0,1,0,0.08061851665319109,Low Risk,70.6,847.1999999999999
0,0,1,1,1.5663126948626918,1,0,0,0,0,0,0,0,2,0,-1.4996800466289273,0,1,0,0,0,0,0.010627328429244274,Low Risk,19.85,238.20000000000002
1,0,0,0,0.4253295420271693,1,1,0,0,0,0,0,0,0,1,0.3438084218837223,1,0,1,0,0,0,0.6083946969111078,Medium Risk,75.35,904.1999999999999
0,0,1,1,-0.9194006023861248,1,0,0,0,1,1,0,0,0,0,-0.3254941482159151,0,0,1,0,0,1,0.36073002324473946,Low Risk,55.2,662.4000000000001
0,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,1,0.1744067788312087,1,0,0,1,0,0,0.8541084931147832,High Risk,70.25,843.0
1,0,1,0,-0.1859114327061462,1,1,0,1,1,0,1,0,0,0,1.0496486012691963,1,0,1,0,0,0,0.6939163685454802,Medium Risk,96.6,1159.1999999999998
1,0,0,0,-0.3489090259683637,1,0,1,1,0,1,0,0,0,0,-0.151110103897151,0,0,0,0,0,0,0.20557757214226496,Low Risk,60.45,725.4000000000001
0,1,0,0,-0.8786512040705705,1,1,0,0,0,0,0,1,0,1,0.6576997016574979,1,0,1,0,0,1,0.8728793611421856,High Risk,84.8,1017.5999999999999
1,0,0,0,-0.5119066192305812,1,0,0,0,0,0,0,0,2,1,-1.5046624478951778,0,1,0,0,1,0,0.08894088277131908,Low Risk,19.700000000000003,236.40000000000003
0,1,1,0,1.0365705167604848,1,1,0,0,0,1,1,1,0,1,1.1758694333475403,1,0,0,0,0,0,0.5825813326530697,Medium Risk,100.4,1204.8000000000002
1,0,0,0,0.9958211184449304,1,0,1,0,1,0,1,1,2,1,0.3105924134420529,0,0,0,0,0,0,0.07519898653646441,Low Risk,74.35,892.1999999999999
0,1,1,0,1.5255632965471373,1,1,1,1,1,1,1,1,2,1,1.6159815451996595,1,0,0,1,0,0,0.17052009764136108,Low Risk,113.65,1363.8000000000002
1,0,1,1,1.607062093178246,0,0,1,1,1,1,1,1,2,1,0.0216131399995298,0,0,0,0,0,0,0.037260493574651124,Low Risk,65.65,787.8000000000001
0,0,0,1,0.5475777369738324,1,0,0,1,1,0,1,1,0,1,1.1559398282825384,1,0,0,1,0,0,0.6587737165917548,Medium Risk,99.8,1197.6
0,0,1,1,-1.0008993990172337,1,0,0,0,0,1,1,1,0,1,0.1179395644803707,0,0,0,1,0,0,0.6558253780160441,Medium Risk,68.55,822.5999999999999
1,0,1,1,1.607062093178246,1,1,0,0,0,0,0,1,2,1,0.6477348991249973,1,0,1,0,0,0,0.1248598824075059,Low Risk,84.5,1014.0
0,0,0,1,-1.163896992279451,0,0,1,1,1,0,1,1,0,1,-0.2590621313325764,0,0,0,0,1,0,0.7011098459270388,High Risk,57.2,686.4000000000001
1,0,1,1,-1.0008993990172337,1,0,0,0,0,0,1,0,0,1,-0.3520669549692508,0,0,0,1,0,0,0.6629017197459263,Medium Risk,54.4,652.8
1,0,1,1,0.4253295420271693,1,1,0,0,1,1,1,1,1,1,1.305411866270051,1,0,1,0,0,0,0.4309875324011778,Medium Risk,104.30000000000001,1251.6000000000001
1,0,1,1,-0.5119066192305812,1,0,0,0,1,0,0,0,0,1,-0.5115037954892637,0,0,0,1,0,0,0.5115995636382727,Medium Risk,49.6,595.2
0,0,0,0,0.0585849571871799,1,1,1,1,0,1,0,0,1,1,-0.0199068705525568,0,0,0,0,1,1,0.1495663402409767,Low Risk,64.4,772.8000000000001
0,0,0,0,-1.2453957889105598,1,1,0,0,0,1,0,0,0,1,-0.3537277553913341,0,0,0,0,1,0,0.6249769106281564,Medium Risk,54.35,652.2
1,0,1,0,-0.5119066192305812,1,0,0,0,0,0,1,1,0,1,0.7972069371125095,1,0,0,0,1,1,0.8066601680855499,High Risk,89.0,1068.0
0,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,0,0.2026403860066275,1,0,0,0,1,0,0.7677590869548397,High Risk,71.1,853.1999999999999
1,1,1,0,-0.7564030091239073,1,1,0,0,0,0,0,0,0,1,0.335504419773305,1,0,0,1,0,0,0.8622745629272517,High Risk,75.1,901.1999999999999
0,0,0,0,0.5883271352893868,1,1,0,1,1,0,1,1,0,1,1.375165483997557,1,0,0,1,0,1,0.7625721664317471,High Risk,106.4,1276.8000000000002
0,0,0,0,-1.2861451872261145,1,0,0,0,0,0,0,0,0,1,-1.4863936432522598,0,1,0,0,1,0,0.4415799397754671,Medium Risk,20.25,243.0
1,0,1,0,-0.4304078225994724,1,0,0,0,1,0,1,0,0,1,0.7307749202291707,1,0,0,0,0,0,0.7314031716818867,High Risk,87.0,1044.0
1,0,1,1,0.5475777369738324,1,0,0,0,0,0,0,0,2,1,-1.488054443674343,0,1,0,0,1,0,0.03183406536042502,Low Risk,20.200000000000003,242.40000000000003
1,0,1,1,1.607062093178246,1,1,1,1,0,1,0,1,2,1,1.0878470109771163,1,0,1,0,0,0,0.05866151983604787,Low Risk,97.75,1173.0
1,0,0,1,-0.389658424283918,0,0,1,0,1,1,0,0,2,0,-0.8270558756851227,0,0,0,0,1,0,0.0898695917398345,Low Risk,40.1,481.20000000000005
1,0,0,0,-1.2861451872261145,1,0,0,0,0,0,1,1,0,1,0.8154757417554275,1,0,0,1,0,1,0.914161260183351,High Risk,89.55,1074.6
1,0,0,0,0.1808331521338431,1,1,1,0,0,0,1,0,0,1,0.8686213552620987,1,0,0,1,0,0,0.7081587238145456,High Risk,91.15,1093.8000000000002
1,0,0,0,1.607062093178246,1,0,0,0,0,0,0,0,2,1,-1.501340847051011,0,1,1,0,0,0,0.01875155423436837,Low Risk,19.799999999999997,237.59999999999997
1,1,1,0,1.607062093178246,1,1,1,1,1,0,1,1,2,0,0.6460740987029139,0,0,1,0,0,0,0.05653160438066134,Low Risk,84.45,1013.4000000000001
0,1,0,0,-0.0229138394439287,1,0,0,1,0,0,0,0,0,1,0.3122532138641368,1,0,0,1,0,1,0.7090973399049333,High Risk,74.4,892.8000000000001
1,0,0,0,0.0993343555027343,1,1,0,0,0,0,0,0,1,0,-1.288758393024327,0,1,0,0,0,0,0.11021048720020798,Low Risk,26.200000000000003,314.40000000000003
0,0,1,1,-0.7564030091239073,1,0,0,0,0,0,0,0,2,0,-1.5345568554926805,0,1,0,0,1,0,0.0647382706876434,Low Risk,18.79999999999999,225.59999999999988
0,0,1,0,0.955071720129376,1,1,0,0,1,1,1,1,2,0,1.2688742569842146,1,0,0,0,0,0,0.1813760922072952,Low Risk,103.2,1238.4
0,0,1,1,0.6698259319204956,1,1,0,1,0,0,1,1,1,0,1.1775302337696238,1,0,0,0,1,1,0.3685964902144616,Low Risk,100.45,1205.4
0,1,1,0,0.1808331521338431,1,1,0,0,0,0,0,0,0,1,0.3820068315916423,1,0,0,1,0,1,0.7538520964529128,High Risk,76.5,918.0
1,0,0,0,-1.2861451872261145,1,1,0,0,0,0,0,0,0,1,-1.3286176031543302,0,1,0,0,1,0,0.5187083194600234,Medium Risk,25.0,300.0
1,0,1,0,-1.0823981956483424,1,1,0,0,0,0,1,0,0,1,0.5929284851962426,1,0,0,1,0,1,0.9001837396195768,High Risk,82.85,994.1999999999999
1,0,1,1,1.4440644999160286,1,0,1,1,0,1,1,1,2,0,0.5929284851962426,0,0,0,0,0,0,0.019485565406014642,Low Risk,82.85,994.1999999999999
1,0,1,0,1.5663126948626918,1,0,1,0,0,1,0,0,2,0,-0.3487453541250838,0,0,0,0,0,0,0.014564899569519184,Low Risk,54.5,654.0
1,0,1,1,0.3845801437116149,1,0,1,1,0,0,0,0,0,0,-0.3487453541250838,0,0,0,0,1,0,0.14779643474657456,Low Risk,54.5,654.0
0,0,1,1,-0.1044126360750375,1,0,0,0,0,0,0,0,2,0,-1.5046624478951778,0,1,0,0,1,0,0.04032900860970915,Low Risk,19.700000000000003,236.40000000000003
0,0,1,0,-1.2861451872261145,0,0,0,0,0,0,0,0,0,1,-1.3352608048426642,0,0,0,1,0,1,0.7858683472563158,High Risk,24.799999999999997,297.59999999999997
1,0,1,1,1.5663126948626918,1,0,1,1,1,1,1,1,2,0,0.6792901071445833,0,0,0,0,0,0,0.01893861525557448,Low Risk,85.45,1025.4
1,0,0,0,-1.2861451872261145,1,0,0,1,0,0,0,0,0,1,-0.4733053857813439,0,0,0,1,0,1,0.6750197232722953,Medium Risk,50.75,609.0
0,0,1,1,1.607062093178246,1,1,1,0,1,1,1,1,2,1,0.6377700965924965,0,0,0,0,0,0,0.03655422055514239,Low Risk,84.2,1010.4000000000001
0,0,0,0,-0.6749042124927986,1,0,0,0,0,0,0,0,1,0,-1.526252853382263,0,1,0,0,1,0,0.15496525204833145,Low Risk,19.049999999999997,228.59999999999997
0,0,1,0,-1.2861451872261145,1,0,0,0,0,0,1,0,0,0,0.4584036510074817,1,0,0,1,0,1,0.8562909094555221,High Risk,78.8,945.5999999999999
0,0,0,0,-1.163896992279451,1,1,0,0,0,0,0,0,0,1,0.3537732244162235,1,0,0,1,0,0,0.878998796204605,High Risk,75.65,907.8000000000001
1,0,0,0,0.5475777369738324,1,1,1,0,0,0,1,0,0,1,0.8021893383787599,1,0,1,0,0,0,0.5702584600820694,Medium Risk,89.15,1069.8000000000002
1,0,0,0,-0.8786512040705705,1,0,0,0,0,0,0,0,0,1,-1.4797504415639258,0,1,1,0,0,0,0.3599103737561471,Low Risk,20.450000000000003,245.40000000000003
1,0,0,0,1.607062093178246,1,1,0,0,0,0,0,0,2,0,-1.3369216052647477,0,1,0,0,0,0,0.01848883070961727,Low Risk,24.749999999999993,296.9999999999999
1,0,1,0,1.607062093178246,1,1,1,1,1,0,1,1,2,1,1.483117511432982,1,0,0,1,0,0,0.1787579700008071,Low Risk,109.65,1315.8000000000002
1,0,1,1,-0.4304078225994724,1,0,0,1,1,0,1,1,1,1,1.164243830392956,1,0,0,0,1,0,0.5702649991513615,Medium Risk,100.05000000000001,1200.6000000000001
0,1,0,0,0.9958211184449304,1,0,1,0,1,1,1,0,2,0,0.1611203754545408,0,0,0,0,0,0,0.03979125412412749,Low Risk,69.85,838.1999999999999
1,0,1,1,-0.5934054158616899,1,0,0,0,1,0,0,1,0,0,-0.250758129222159,0,0,0,1,0,1,0.5398661240466327,Medium Risk,57.45,689.4000000000001
0,0,0,0,0.5883271352893868,1,1,0,1,1,0,1,1,0,1,1.3735046835754727,1,0,0,1,0,0,0.7626347233336244,High Risk,106.35,1276.1999999999998
1,0,0,0,0.9143223218138218,1,1,0,0,1,0,1,1,2,1,0.4251876425658124,0,0,0,0,0,0,0.14411347802627897,Low Risk,77.8,933.5999999999999
1,0,0,0,-0.9601500007016792,1,1,0,1,0,0,1,1,0,1,1.139331824061704,1,0,1,0,0,0,0.8767269201843898,High Risk,99.30000000000001,1191.6000000000001
1,0,0,0,1.0365705167604848,1,1,0,0,0,0,0,0,2,1,-1.3468864077972482,0,1,1,0,0,0,0.03868127408871972,Low Risk,24.450000000000003,293.40000000000003
1,0,1,1,-0.6341548141772443,1,1,1,0,1,0,1,0,1,1,0.1777283796753755,0,0,0,0,0,0,0.31120271711270797,Low Risk,70.35,844.1999999999999
0,0,1,1,1.4440644999160286,0,0,0,1,1,1,1,1,2,0,-0.1560925051634015,0,0,1,0,0,0,0.05086913523755597,Low Risk,60.3,723.5999999999999
1,0,1,0,-1.163896992279451,1,0,0,0,0,1,0,0,0,0,-0.4965565916905126,0,0,0,0,1,1,0.45815656660204723,Medium Risk,50.05,600.5999999999999
1,0,1,0,0.3845801437116149,1,1,0,0,1,1,1,1,1,1,1.438275900036728,1,0,0,1,0,0,0.5757609701397159,Medium Risk,108.3,1299.6
1,0,1,1,1.1180693133915935,1,0,1,1,1,1,0,0,1,1,0.0282563416878633,0,0,0,0,0,0,0.03915617680418091,Low Risk,65.85,790.1999999999999
1,0,0,0,-0.7971524074394618,1,1,1,0,0,0,1,1,0,0,1.1011334143537843,1,0,0,0,1,1,0.7976617052315621,High Risk,98.15,1177.8000000000002
1,0,1,1,0.2623319487649518,1,0,1,1,1,0,0,0,1,0,-0.1727005093842362,0,0,0,1,0,0,0.11335290307547723,Low Risk,59.8,717.5999999999999
0,1,0,0,-0.2266608310217006,1,1,0,0,1,0,0,0,0,1,0.4334916446762297,1,0,0,1,0,1,0.8237472458024307,High Risk,78.05,936.5999999999999
0,0,1,0,1.607062093178246,1,1,1,1,1,1,1,1,2,1,0.8686213552620987,0,0,0,0,0,0,0.04011164533111322,Low Risk,91.15,1093.8000000000002
1,0,1,1,-0.5119066192305812,1,0,0,0,0,0,0,0,2,0,-1.4930368449405935,0,1,0,0,1,0,0.05380987876070233,Low Risk,20.050000000000004,240.60000000000005
